Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,2.6967,2.2579,3.0243,3.1318,2.2328,2.0221,2.0507,2.0068,1.9864,2.1627,2.366,2.1572,2.1177,1.9947,2.0095,1.981,2.01,2.0879,2.0766,2.0247,2.0001,2.0471,2.0167,2.009,2.1474,2.0359,2.0684,2.056,2.0103,2.0005,2.15963
Journey Through Heartsongs,2.7839,2.6998,2.6993,2.6657,2.6399,2.6785,2.8772,2.7024,2.7056,2.6512,2.6732,2.9411,2.8507,2.8168,3.2961,2.7389,3.1973,2.8018,2.8292,2.632,2.6646,2.6815,3.2649,2.5246,2.5117,2.5467,2.5565,2.5944,2.8153,2.5482,2.752967
In Search of Melancholy Baby,1.2045,1.1953,1.2299,1.2828,1.2964,1.2764,1.2509,1.7952,1.2024,1.1936,1.2093,1.2024,1.2505,1.184,1.2127,1.1948,1.1883,1.2254,1.1906,1.5198,1.2081,1.2304,1.2375,1.1977,1.1938,1.199,1.2459,1.2253,1.2855,1.2872,1.253853
The Genesis of Ethics,1.9766,1.6779,1.6686,1.716,1.7551,1.7528,1.7701,1.7358,2.1133,1.9029,1.9135,1.7592,1.7494,1.7562,1.7616,1.7594,1.7827,1.7703,1.7553,1.7541,1.7661,1.7671,1.7575,1.7708,1.7401,1.738,1.8315,1.7721,1.7349,1.7474,1.781877
All over but the Shoutin',1.2609,1.2659,1.2804,1.3021,1.2656,1.3273,1.2697,1.2768,1.2894,1.2812,1.2323,1.2019,1.2035,1.1986,1.2334,1.2062,1.2034,1.2009,1.375,1.4001,1.2197,1.2163,1.2172,1.1952,1.2327,1.2053,1.2112,1.2278,1.2091,1.2298,1.247963
Oilers and Sweepers and Other Stories,2.3862,2.5133,2.3974,2.4863,2.4104,2.4791,2.3644,2.3694,2.3598,2.4459,2.658,2.4402,2.6158,2.4007,2.2696,2.3863,2.3807,2.3824,2.3918,2.2524,2.318,2.2771,2.3099,2.2743,2.2782,2.3747,2.2838,2.2831,2.2991,2.2549,2.378107
The Emperor's New Mind,1.8848,2.1968,1.8762,1.8901,1.8795,1.9254,1.9823,1.8793,1.8642,3.4934,1.8865,1.931,2.1149,1.855,2.0368,1.9185,2.2064,1.92,1.941,1.9067,1.8824,1.9248,1.8715,1.8727,2.1731,1.9644,1.9343,1.8961,1.9389,1.969,2.000533
Touching Fire: Erotic Writings by Women,3.1672,3.1387,3.1321,3.0686,3.1365,3.0737,3.1302,3.0994,3.0887,3.0731,3.0843,3.0845,3.1026,3.1482,3.1685,3.1356,3.0765,3.0903,3.1296,3.1578,3.1127,3.121,3.1574,3.1415,3.2966,2.9443,3.0195,3.0024,3.0953,3.3176,3.11648
Hill Rat: Blowing the Lid Off Congress,1.6888,1.6414,1.6477,1.9248,1.683,1.6576,1.6951,2.1864,2.6084,3.5039,1.8163,1.8216,1.7511,1.7207,1.8604,1.7522,1.7516,1.7324,1.734,1.7071,1.7056,1.7149,1.7471,1.7874,1.717,1.7192,1.7154,1.7218,1.7106,1.7164,1.837997
Personality of the Cat,4.1046,4.0115,3.9706,4.325,4.156,4.0492,4.0437,4.2025,4.004,4.0228,4.0083,4.045,3.9703,4.0032,3.9952,4.2261,4.0268,4.0395,4.1069,4.0985,4.0647,4.0054,4.0944,4.0489,3.8472,4.0093,4.0619,3.9103,4.1093,3.8443,4.046847
Best New American Voices 2003,1.7992,1.6106,1.6279,1.5687,1.619,1.5741,1.7112,1.5668,1.5796,1.5795,1.8048,1.5824,1.5662,1.6927,1.581,1.5762,1.6078,1.6138,1.5696,1.7323,1.5826,1.6406,1.5951,1.5871,1.5657,1.7212,1.5599,1.5619,1.6176,1.7885,1.62612
Jackie by Josie: A Novel,2.5835,2.2206,2.2188,2.2753,2.4346,2.2623,2.2004,2.2543,2.2487,2.1879,2.1811,2.4712,2.2759,2.256,2.2046,2.2254,2.5727,2.4265,3.1982,2.2933,2.2032,2.3804,2.3958,2.4097,2.6963,2.3558,2.3965,2.2308,2.282,2.2836,2.35418
Majorca: Culture and Life,3.1248,3.0334,3.0133,3.0693,3.5826,3.7006,3.0508,3.0571,3.1277,3.208,3.1113,3.1231,3.1425,3.3709,2.998,3.2217,3.0357,3.0532,3.0692,3.0605,2.9992,3.0189,3.0439,3.0696,3.0609,3.1203,3.0823,3.3892,3.2115,3.1534,3.14343
The Universe of Galaxies,1.9955,2.5047,2.1986,2.0097,1.9395,1.8861,1.7709,2.0238,1.8692,1.8581,2.0263,1.915,1.9684,2.1952,2.2312,1.9376,2.1648,1.9979,2.1541,2.0457,2.1393,1.9538,2.1286,1.8371,1.9996,1.8739,1.8282,2.1486,2.0709,1.8428,2.01717
Healing Benefits of Garlic,2.6939,2.7896,2.9137,2.6653,2.7408,2.6473,2.8754,2.6493,3.4298,2.84,2.6755,3.5065,2.9804,2.9955,2.8193,3.1441,2.6461,2.8523,2.7763,2.856,2.6716,2.7142,2.6832,2.7415,2.7148,2.7562,2.712,2.8712,2.6603,2.6778,2.82333
George Meany And His Times: A Biography,2.4002,2.4193,2.4422,2.3953,2.4418,2.5673,2.5633,2.444,2.623,2.4489,2.4917,3.0434,2.5139,2.4603,2.4046,2.413,2.3759,2.6471,2.5492,2.4749,2.781,2.551,2.4147,2.9761,2.4949,2.699,2.4937,2.67,2.5168,2.5567,2.54244
American Dreams: Lost & Found,3.2909,3.1459,3.2525,3.222,3.0954,3.0499,3.0767,3.0522,3.0649,3.0717,2.9997,2.962,2.9622,3.7338,2.8964,2.9434,2.9543,3.4094,3.1659,2.9738,2.9648,3.2379,2.9124,3.5889,3.3726,3.1201,3.249,3.0969,3.1742,3.0695,3.136977
"Love, Love, and Love",2.0315,2.0448,2.1288,2.54,2.1141,2.2424,2.09,2.1936,2.1493,2.1724,2.2289,2.111,2.1244,2.0841,2.0921,2.1173,2.0828,2.2184,2.1112,2.1269,2.082,2.1393,2.1047,2.0845,2.1075,2.2385,2.0923,2.0841,2.1218,2.0883,2.138233
Henry VIII (English Monarchs Series),2.1424,2.1342,2.0943,2.1066,2.1418,2.1687,2.1029,2.1919,2.1328,2.1882,2.1608,2.1104,2.1165,2.1474,2.1015,2.1009,2.2573,2.0495,2.0299,2.0793,2.0274,2.0457,2.1716,2.0952,2.8014,2.0741,2.0216,2.073,2.1821,2.0081,2.13525
The Moral Intelligence of Children,1.7365,1.7059,1.6109,1.8141,1.6478,1.7921,1.6785,1.5999,1.5576,1.8495,1.6305,1.5831,1.5718,1.5637,1.5915,1.5561,1.5549,1.6619,1.5934,1.7145,1.6489,1.6267,1.581,1.58,1.5807,1.5963,1.5926,1.5561,1.5568,1.6993,1.63442
Cook Healthy: Cook Quick,1.5942,1.621,1.5867,1.5921,1.5794,1.6404,1.6153,1.6356,1.941,1.8386,1.7162,2.0299,1.8572,1.593,1.5852,1.5841,1.7779,1.6262,1.5857,1.6424,1.5946,1.5957,1.6779,1.7586,1.6187,1.9042,2.1887,1.5894,1.6116,1.5751,1.691887
Sunset at Rosalie: A Novel,2.2173,2.2451,2.3129,2.2385,2.3896,2.2275,2.2042,2.2678,2.2985,2.4574,2.2032,2.2327,2.4444,2.1993,2.232,2.2297,2.3263,2.359,2.2452,2.2313,2.2825,2.226,2.4622,3.0331,3.0464,2.7279,2.3398,2.7582,3.1301,2.3986,2.39889
Proverbs For The People,3.051,3.0958,3.3231,3.0735,2.9816,2.9733,2.9596,3.2673,2.9961,2.8764,2.9226,2.8905,2.9321,3.1167,3.025,2.9589,2.989,2.9851,3.0334,3.0256,2.993,3.027,3.0014,3.0391,2.9754,3.0052,3.0025,2.9733,3.3402,3.2359,3.035653
Great American Countryside,2.1273,2.0368,2.479,2.0371,2.3367,2.0847,2.0397,2.1038,2.0247,2.048,2.1233,2.5671,2.1141,2.1358,2.1402,2.1179,2.1261,2.0058,2.2241,2.2537,2.1461,2.086,2.1134,2.1409,2.1235,2.2275,2.0369,2.351,2.7101,2.3321,2.17978
Rob Whitlock: A Pioneer Boy in Old Ohio,1.4028,1.37,1.5569,1.4376,1.368,1.3546,1.3628,1.441,1.3689,1.3536,1.3633,1.6524,1.5354,1.4607,1.3384,1.4796,1.4634,1.3675,1.3674,1.457,1.4235,1.398,1.3469,1.3745,1.3846,1.5225,1.3627,1.354,1.4326,1.3628,1.415447
British Hospitals (Britain in Pictures),2.8073,2.6305,3.0489,2.7852,2.91,2.6536,3.4594,3.7206,2.8639,2.7438,3.4048,3.0886,3.1423,2.7491,2.8855,2.801,2.7637,3.41,3.7844,3.6899,4.3943,3.6529,2.737,3.1992,2.7791,2.7835,2.9463,2.7826,2.7248,2.7622,3.070147
The Practical Stylist,1.9555,2.2302,1.9767,1.932,1.9654,1.9547,1.9562,1.9605,1.923,2.146,1.9599,1.9506,1.9782,1.9391,1.9887,1.9557,1.8767,1.9779,1.9559,1.937,1.9723,1.9672,1.9474,1.952,1.9483,2.1169,2.009,2.0873,2.0491,2.0659,1.987843
Civilization III: Instruction Manual,4.7555,4.4755,4.4658,5.7814,5.2384,4.9898,4.3753,4.2741,4.2575,4.3194,4.3329,4.2437,4.2209,4.4627,4.2904,4.2726,4.2502,4.6002,4.3893,4.4468,4.693,4.3991,4.4339,4.39,4.3956,4.4841,4.4463,4.8395,4.2406,4.3528,4.50391
