Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,8.1559,8.6852,9.062,8.0685,7.7859,8.4234,9.6914,7.9813,14.3438,9.0025,9.2426,13.5783,12.0763,9.1057,9.2131,9.0173,11.9286,11.7036,11.0679,11.1764,9.4583,8.6185,8.294,9.9318,10.8543,9.7612,8.4271,9.2019,8.9304,12.9297,9.85723
Ali & Lili,2.9098,2.8054,3.1776,3.4268,4.1639,3.7718,3.5411,4.6957,2.743,2.7571,2.7624,3.1124,2.825,3.131,3.0676,3.2174,2.7679,2.7754,3.3626,3.1167,2.8072,3.3185,2.8122,3.0964,2.7345,2.8323,2.8812,2.8157,3.2562,3.5293,3.14047
Ide-Ide Pemikiran dari Kampus Maroon 2024,6.7469,6.1866,6.7782,6.4276,6.2336,10.0853,6.3645,8.5383,11.3742,6.3946,7.3948,6.1488,6.1566,10.9245,11.6891,6.2132,6.2823,11.1671,9.7039,7.6639,6.1699,11.2283,6.7213,8.9091,6.2841,7.6723,5.95,7.5587,6.8141,5.9341,7.723863
Mitigasi Risiko Proyek Konstruksi di Indonesia,9.6501,8.6232,8.7397,7.1289,8.1238,7.0952,8.8324,10.3643,8.4384,7.9718,7.1121,10.5075,7.131,10.4368,6.9666,7.3294,7.0323,7.1224,7.0335,7.3362,7.0627,6.9304,9.7991,7.8135,8.0265,7.5636,7.1209,6.9758,7.8982,6.7386,7.963497
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",13.4144,13.8438,9.897,9.5902,8.5255,9.0039,8.729,9.4317,11.4669,9.3586,9.4543,9.253,16.0122,11.4125,14.8287,11.7032,12.6863,11.0019,11.7028,10.026,12.8047,9.4234,9.3969,9.5462,9.8389,9.9613,10.0316,16.2765,9.923,9.571,10.93718
Akal Yang Mengandung Hikmat,4.8696,4.4071,5.0521,3.9035,3.71,3.6316,3.7312,3.7548,3.8986,5.2155,5.6004,3.7549,5.8976,4.6836,3.5677,3.4654,3.869,5.1316,4.0448,4.3487,6.4826,5.9354,4.2774,4.1155,4.6146,3.8536,3.5898,3.7132,3.737,3.7316,4.352947
79 Esai Aksi Bersama Wujudkan 17 SDGs,2.5591,3.2105,2.3436,2.1553,2.3447,2.152,3.01,2.7549,2.1771,2.7189,4.6805,3.3898,3.1552,2.4258,2.5568,2.8818,2.3625,2.2109,2.1369,2.1461,2.1769,2.24,2.3802,2.7749,2.4907,2.3412,2.1437,2.2943,2.3683,2.2129,2.55985
Penghargaan Achmad Bakrie XX-2024,10.6523,11.5015,10.8186,12.541,9.8865,9.6299,11.6245,10.8746,14.8297,10.4485,11.6497,10.8127,10.6655,12.0974,11.8387,11.9317,12.1714,9.7258,11.1494,10.2899,10.5814,10.7974,12.9152,9.7065,11.0517,9.683,10.063,10.4912,11.4544,10.8334,11.09055
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,8.2304,11.5307,11.4183,11.001,11.2142,8.8411,9.7837,9.7924,8.6477,8.6765,8.6327,16.4289,8.9749,11.0587,11.352,10.538,12.1835,12.5257,11.2461,9.0561,10.5077,11.8768,8.7055,8.8185,8.8483,10.7164,8.5986,8.8183,8.779,8.3439,10.17152
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,6.3983,7.0318,6.2572,6.1715,9.8036,7.6416,6.7033,6.3289,7.7916,7.6468,7.6602,6.6551,6.621,6.4981,7.9595,6.6656,8.0864,10.0895,7.7591,6.866,7.0099,7.0575,7.3835,6.9194,6.5893,7.1588,8.597,6.5604,8.7448,7.7445,7.346673
