Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,50.3169,60.6187,60.8556,72.3362,70.8856,53.6929,61.7892,74.614,57.1054,55.8896,60.3459,57.2055,57.0786,55.4587,73.1504,53.6091,49.1429,71.8362,63.8328,50.6284,54.3669,59.0281,51.9776,63.592,51.7807,59.6167,53.8585,75.3504,49.2297,50.993,59.33954
Journey Through Heartsongs,73.8154,65.6801,70.2413,70.244,80.0172,76.022,79.4694,69.0327,67.4816,71.6866,62.5333,79.9298,65.9799,102.9224,89.1332,74.3935,72.7093,75.0431,69.3964,81.6976,69.3019,94.7625,74.0865,63.6078,90.7045,83.5355,77.2875,71.4367,76.6741,77.6446,75.882347
In Search of Melancholy Baby,39.8928,34.5256,30.813,29.8113,47.3423,43.8927,40.1713,34.4862,34.8082,38.931,33.1725,30.0403,33.4106,29.8678,53.7145,30.2355,38.9288,35.0758,32.6107,30.9306,38.948,30.9952,43.5474,34.1713,42.2319,29.9954,31.5365,33.886,40.7205,36.0488,36.158083
The Genesis of Ethics,63.9228,50.6231,55.7976,61.0491,49.6567,47.888,49.5112,47.855,58.286,47.7457,66.1062,47.9413,58.4118,50.4715,55.9293,60.4888,53.7232,63.1783,58.8854,65.8694,53.9989,57.1804,68.7305,55.6205,56.1614,48.8885,60.6482,53.929,60.3911,48.0861,55.899167
All over but the Shoutin',34.5592,36.9805,32.6014,51.7274,45.3791,39.9623,37.9273,34.3718,41.6169,35.4356,59.8252,35.2681,39.3209,43.6593,45.9037,35.5086,32.5942,37.9855,45.243,65.0369,45.6875,33.7686,33.4351,39.9498,60.0934,33.4048,38.5099,49.1304,32.6354,32.4488,40.99902
Oilers and Sweepers and Other Stories,60.8345,61.9857,65.0432,58.0584,55.382,63.6154,57.8143,62.5213,64.0207,57.3178,57.5513,55.9986,65.5436,54.9718,55.2783,55.2719,55.7613,55.0493,67.0112,80.5026,65.1444,55.7404,70.6153,59.0259,58.7115,57.6071,56.9719,76.1123,57.6011,55.187,60.74167
The Emperor's New Mind,62.6455,63.1275,102.485,76.1191,59.5642,64.649,64.7451,62.7615,63.4939,60.9949,67.5302,62.7766,64.8799,60.6339,67.5137,53.7977,66.2308,55.2384,57.5956,53.7252,57.2706,53.7273,56.1967,55.9075,75.575,70.3047,72.5785,80.8826,65.8926,57.7201,64.55211
Touching Fire: Erotic Writings by Women,70.4221,78.1867,116.3628,82.2957,73.8259,78.8661,74.1546,88.4706,71.2431,77.0983,70.8026,70.443,89.5144,72.5443,73.6963,94.4673,76.9673,69.6547,76.0112,111.8123,98.0267,74.6146,72.9501,72.1805,79.4665,71.3733,71.7345,94.8547,84.1676,73.9171,80.337497
Hill Rat: Blowing the Lid Off Congress,46.0084,56.7987,40.4796,53.3857,39.9219,44.4237,50.6262,40.0195,51.4818,39.8953,55.7556,49.2819,51.9154,63.341,42.2892,64.7852,41.6933,46.5025,41.3992,39.9668,47.3968,63.5086,42.2406,46.2123,44.7697,58.7393,41.7455,46.8999,55.4832,45.6383,48.42017
Personality of the Cat,112.2427,102.4785,117.5012,104.2729,107.9658,140.6255,103.9851,113.9354,129.215,124.4573,102.669,111.436,111.9161,109.5097,115.6927,99.7148,100.9568,96.4518,97.8698,114.8739,117.5618,107.2981,98.796,115.9097,110.3137,104.5111,109.8686,107.4066,109.3423,108.3458,110.237457
Best New American Voices 2003,51.645,40.1738,60.9796,91.3598,65.5121,40.1979,40.2441,41.1538,40.084,48.6862,42.3444,40.1417,50.9449,46.573,42.4889,55.5692,53.3829,55.5829,54.034,40.3036,58.7947,43.0274,44.1196,40.313,40.287,41.7427,46.7809,43.8179,47.7297,53.2991,48.71046
Jackie by Josie: A Novel,59.4429,64.5046,76.5738,73.9833,66.4376,61.9613,59.9584,58.4814,58.0381,61.9134,65.2167,91.8279,63.9844,55.756,104.231,58.3526,67.5725,74.8003,56.1723,74.9053,58.5825,69.0195,70.7008,56.8826,56.023,86.5971,62.7241,57.5801,58.3465,63.4849,66.468497
Majorca: Culture and Life,78.1948,70.6292,81.5909,86.9022,69.6666,67.1402,74.6872,78.6676,72.4737,80.1461,72.6016,62.4646,75.0694,74.772,68.9809,76.5528,75.135,76.7686,86.1218,68.3065,75.0739,68.3636,70.9123,75.2862,79.8706,66.0662,69.14,69.9935,62.7571,76.1057,73.68136
The Universe of Galaxies,75.9653,56.5768,51.9071,52.8914,64.3718,62.4529,69.7482,85.5988,70.8305,66.4696,70.0219,62.4276,58.6562,80.6612,50.7541,64.3612,56.5805,50.9441,51.038,50.8368,60.0149,55.9621,74.1016,50.7624,56.2005,52.6246,58.9706,50.9806,56.4591,51.7306,60.6967
Healing Benefits of Garlic,75.3686,67.7756,77.3414,65.8848,66.0151,66.0294,79.0859,88.8149,71.3182,65.1646,75.4358,64.9633,76.6659,73.5025,70.5603,67.5543,83.0741,67.8513,69.3781,71.3605,78.3442,74.431,67.033,70.6845,75.9725,62.8719,71.5949,86.2604,72.6558,75.6969,72.62299
George Meany And His Times: A Biography,74.0279,62.8156,103.6521,84.7264,66.3299,62.7711,57.4383,80.4783,80.1513,65.2495,54.9422,60.5447,66.0004,63.9741,60.8747,64.8418,55.065,62.2782,65.1058,58.091,57.2026,79.1734,71.8921,70.2683,56.4054,57.2999,54.9178,82.8368,82.9162,58.8379,67.37029
American Dreams: Lost & Found,71.4904,92.8404,80.7225,74.3077,77.3457,92.5925,76.6263,99.6416,74.1898,91.8043,93.2723,86.4414,92.5736,83.8591,72.3945,80.8643,92.6626,77.7566,80.8585,98.7832,75.6258,92.3632,85.431,85.863,90.5781,97.518,115.9229,78.6122,88.6357,74.1198,85.856567
"Love, Love, and Love",49.2849,40.6293,43.1805,45.659,53.5286,49.7342,60.0605,45.6134,44.6263,42.8293,43.9438,50.0114,41.9566,46.8858,46.9541,44.5043,40.5211,44.8324,52.3468,40.1984,52.7444,42.1385,43.532,50.9568,43.3772,53.3513,48.4842,41.2521,40.5155,40.2305,46.12944
Henry VIII (English Monarchs Series),53.4326,50.4245,57.591,69.9105,56.4532,58.6666,51.5194,58.5745,52.4189,52.7591,60.0844,47.9444,53.5624,60.5272,47.6383,55.0056,47.865,53.9019,58.4739,50.298,49.0185,53.5403,55.1424,60.3919,57.8999,63.8229,50.9665,61.4462,49.4059,58.3491,55.2345
The Moral Intelligence of Children,59.5825,46.0557,49.8894,46.5689,42.7647,46.1052,92.5182,66.0759,72.266,58.9611,46.5581,45.9344,44.7918,54.2452,44.067,46.8676,48.7649,48.5096,56.5391,60.1085,44.3586,44.8501,50.0658,59.217,42.3734,58.2467,65.573,42.2725,56.1185,51.5971,53.06155
Cook Healthy: Cook Quick,47.761,49.2951,56.4799,52.5092,50.6563,71.8118,50.6003,55.8169,54.7185,43.7114,46.0745,61.0176,48.4867,50.1993,53.8436,60.5281,49.2549,44.0717,46.0358,44.1516,43.8512,43.07,61.1008,51.3521,58.1675,43.1022,51.4146,43.5343,44.0683,57.6978,51.1461
Sunset at Rosalie: A Novel,67.9241,90.3451,102.1923,56.0577,55.669,61.3479,61.8707,70.8794,74.8466,73.3245,62.2599,58.0746,77.2229,55.8947,54.9188,67.2783,76.2046,58.4954,62.9144,59.0307,88.2348,55.1636,63.5724,66.7108,63.1311,58.092,70.3293,54.9577,55.6954,60.0998,66.091283
Proverbs For The People,91.3693,80.9634,79.4644,79.3943,82.0448,75.6842,72.5274,80.0905,87.9555,88.6445,89.1446,79.7856,98.6128,81.7928,69.7878,88.2128,78.8618,93.1098,95.5691,80.4902,76.5023,81.4233,76.5852,78.6363,81.316,71.9806,82.1205,71.2438,82.3835,75.0097,81.690227
Great American Countryside,52.8492,48.7856,63.4397,48.931,50.2049,69.8764,55.8444,49.533,51.5602,62.9842,52.5789,58.2391,53.1104,48.4085,56.9302,49.604,50.1008,68.7362,52.1825,69.0946,61.8864,53.4061,56.4417,58.689,48.6443,49.3093,49.5443,51.0037,48.7385,50.2045,54.695387
Rob Whitlock: A Pioneer Boy in Old Ohio,82.4498,33.3361,33.3649,32.5285,33.3709,37.5231,37.5478,33.1633,42.0693,41.6576,38.2434,38.6743,34.8648,32.5041,33.3159,46.0582,38.1118,35.5484,32.4149,32.4576,36.3558,32.7632,33.0418,36.8116,32.1296,38.4063,50.0905,44.8134,60.2324,33.2938,38.90477
British Hospitals (Britain in Pictures),87.8104,70.0292,76.1493,80.9419,71.8608,72.7813,70.6922,78.3195,67.5198,70.0641,93.433,70.328,70.0079,77.6571,89.0878,87.6589,99.5482,100.3297,91.4586,88.5125,67.5779,90.5917,67.8567,98.3308,116.2887,76.9771,69.8691,71.5177,82.572,63.2707,80.634753
The Practical Stylist,73.5118,79.2452,60.4716,87.9461,59.8895,69.4903,54.6689,60.3275,53.9711,65.43,58.9255,62.4301,55.0022,66.5231,64.322,57.9894,54.5306,65.1884,60.6998,59.1591,60.1484,64.7416,73.2675,66.233,62.0557,71.1542,59.2247,59.285,61.6078,55.796,63.441203
Civilization III: Instruction Manual,119.5271,136.4865,117.9308,122.0564,108.1344,109.3411,114.1543,133.1965,136.3225,102.6971,141.8405,112.6446,116.9956,114.5666,107.9446,113.5845,128.4943,120.7356,143.3472,104.4352,115.1564,112.0694,116.4312,105.8783,137.4278,122.3175,139.2113,141.8964,115.6552,114.7735,120.841747
Elvis in the Morning,52.3661,53.0948,47.5412,49.2071,60.9707,55.9454,47.6299,62.1132,52.7616,59.4086,47.4448,47.7899,68.309,69.0584,92.9033,78.0699,53.2506,61.7489,55.0438,47.3226,58.2645,78.9865,52.7124,63.7596,65.0966,47.6322,47.5875,53.3231,55.9355,58.1609,58.11462
Future Space: Beyond Earth,76.9038,70.7803,59.669,87.2082,55.3874,59.8727,62.3136,70.6223,70.3494,60.6272,58.3971,67.2862,64.1277,74.5152,61.9761,59.9119,62.7474,76.0566,83.508,54.9721,64.1184,54.9878,73.3448,61.5521,62.7366,60.9612,56.3662,66.8205,68.1293,57.4856,65.457823
"The young Jefferson, 1743-1789,",53.3138,42.8409,51.2601,52.9089,46.9893,54.3953,43.038,45.7001,46.8435,51.8431,43.0811,51.2027,50.1291,48.1031,43.2282,44.5107,43.3484,67.8181,50.1853,45.8998,42.7517,52.8583,47.0399,43.0749,59.1244,74.1063,43.02,52.4782,43.0742,53.6997,49.59557
