Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,5.7731,5.4272,5.1998,4.7644,5.6025,5.5915,6.002,5.9827,9.4051,5.3482,5.1705,4.9374,5.0252,6.1878,4.8706,5.7846,7.7092,5.3185,8.2912,5.0194,4.8811,6.2434,6.0801,5.8442,5.7111,5.7354,5.5203,4.6859,5.5974,5.0152,5.7575
Ali & Lili,1.7885,1.9648,2.2619,2.8661,2.2907,1.7832,1.7803,2.156,2.3409,2.991,2.3423,2.1225,2.1665,1.7777,1.7727,2.1371,1.7716,1.8838,2.0486,1.8121,1.8318,1.9795,1.8472,1.8657,1.7755,1.8891,1.9189,1.7935,2.2484,2.0894,2.043243
Ide-Ide Pemikiran dari Kampus Maroon 2024,3.9242,4.387,8.2042,4.7797,6.7168,3.6523,4.7168,6.1622,5.0415,5.3514,6.3919,3.8847,5.3911,7.4486,4.3082,4.0027,4.4241,4.9925,5.0299,4.3945,5.9409,5.5537,4.1249,5.6871,5.7772,6.2209,4.6839,4.1866,3.6349,3.9059,5.097343
Mitigasi Risiko Proyek Konstruksi di Indonesia,6.0585,5.6611,5.0177,4.6775,4.8686,4.9042,4.5784,6.3317,7.0598,4.534,7.419,5.4579,4.6,5.1257,5.0134,5.0524,4.6362,9.8215,5.1869,8.4251,4.8915,4.6438,7.6915,4.4218,4.657,5.1285,4.4418,4.7954,5.3984,5.1294,5.520957
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",6.7398,8.329,6.9121,5.131,5.186,5.4792,6.4299,4.9857,5.2379,5.0433,7.0686,6.1691,5.1504,5.6195,5.5247,5.2746,7.4718,9.3459,5.945,6.6578,4.9513,5.1187,6.785,5.2516,10.8389,6.7684,5.2414,6.6059,8.3588,8.6751,6.40988
Akal Yang Mengandung Hikmat,2.9063,2.8812,2.5967,2.2375,2.6297,2.237,2.4601,2.3365,2.4722,2.9881,2.4936,2.4926,2.5216,2.2923,3.1835,4.5156,2.7745,3.0158,2.241,3.6203,9.032,3.3204,2.5083,2.3344,2.3531,2.3344,2.6023,3.2325,3.3604,2.6874,2.955377
79 Esai Aksi Bersama Wujudkan 17 SDGs,1.7194,1.9947,2.6913,3.1289,5.2376,3.4594,3.1457,3.2362,2.2989,1.8056,1.751,1.5001,1.552,2.6075,1.5635,1.5022,1.505,1.5576,2.4635,2.5186,2.3573,4.4534,2.4491,4.1331,1.6897,1.6979,2.1629,2.1752,1.6284,1.6271,2.387093
Penghargaan Achmad Bakrie XX-2024,6.698,6.3227,6.1822,8.3678,9.8017,9.2405,7.4101,5.8932,5.8779,5.7744,5.9666,7.5561,5.8479,5.8058,6.1952,5.6849,6.8395,6.324,7.6423,6.8585,6.2623,5.776,6.6476,6.3827,6.8536,6.3947,6.7148,7.5588,8.4962,10.6589,6.934497
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,4.9126,7.113,6.7814,6.0086,6.0723,4.7118,4.6147,4.8424,6.6699,6.3995,6.835,5.1722,4.5587,4.9915,4.7174,4.9668,5.3589,6.7673,5.7082,5.1447,4.5974,6.6176,6.2928,5.1042,5.214,6.7988,26.3532,7.7142,7.6104,8.0528,6.556743
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,7.8991,4.9392,4.1661,4.2277,7.0475,7.3966,6.0429,6.5713,6.1095,4.1132,4.7939,4.087,4.0764,4.0752,4.1556,4.0377,5.4297,5.6702,4.1845,3.8305,5.6204,4.0561,5.1212,5.5565,5.4607,4.694,4.2349,3.8723,4.4194,6.5505,5.081327
Desain Percobaan: Teori dan Aplikasi,3.8818,3.9864,3.9618,3.6295,4.6403,4.1968,3.4943,4.1901,5.8042,3.6977,3.6374,4.3953,3.6438,4.0407,3.4878,4.2658,3.5614,5.2868,4.3415,3.3841,8.1406,3.7826,4.1659,4.3462,3.7555,5.6135,4.6899,3.9158,3.5019,3.6531,4.236417
"Wanita Masa Depan: Peran, Identitas, Dan Kontribusi Dalam Menghadapi Tantangan Kehidupan",4.0411,3.9188,3.7019,4.4574,4.6817,3.9923,3.7023,7.3876,3.6717,3.7798,3.9594,3.7955,3.7643,3.7129,4.3126,4.8929,4.7037,4.1373,4.7491,4.2021,6.0921,3.7957,3.8764,4.0764,3.9211,7.5116,3.6684,4.2282,4.1807,4.4557,4.379023
Jalan Kebijaksanaan: Mengatasi Kesulitan Dan Menginspirasi Kehidupan,6.3554,4.6379,7.1897,5.564,4.168,4.9448,4.4873,4.3165,4.5785,4.3989,4.4729,4.166,4.581,4.3355,4.572,4.0807,4.7801,4.4213,4.3,6.1813,4.1436,8.0542,5.587,4.7913,5.2164,6.0656,5.3509,6.5297,6.5298,7.9494,5.22499
