Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,12.5744,12.1758,12.254,12.2495,13.0827,12.1442,12.0621,12.4662,12.4274,12.2992,12.4536,12.4616,12.1848,12.2875,12.7243,12.8952,13.9486,12.2535,13.5422,12.5015,12.2553,12.2649,12.2317,12.3423,12.4948,12.1245,12.1109,15.27,12.9909,12.6898,12.592113
Journey Through Heartsongs,17.1708,17.7215,16.7325,16.9912,19.0866,17.0331,16.3799,19.9964,16.3619,19.682,16.5178,16.6298,16.6115,16.851,16.7233,17.305,16.9642,16.8856,19.8656,16.8781,17.1275,17.8867,16.7752,16.6509,16.6889,16.6418,19.4617,16.9247,16.6689,19.4481,17.422073
In Search of Melancholy Baby,8.078,7.5709,7.7578,7.5907,7.9292,7.5436,7.7578,8.9535,8.4444,8.0613,7.8149,7.5409,8.3547,7.7137,8.3842,7.5801,7.9652,7.5254,7.5227,7.4531,7.6179,7.4942,7.9159,7.5607,7.6687,7.5325,7.6651,7.4961,8.4432,8.5683,7.850157
The Genesis of Ethics,11.9907,13.0662,13.4765,12.4768,12.0515,14.2732,11.9244,12.0039,12.8276,12.4289,12.4256,12.3904,12.0592,12.1904,11.9662,12.1456,12.3448,12.0543,12.0555,12.3244,12.171,11.9202,11.9869,11.9012,12.5453,12.7328,11.8884,12.177,13.4895,13.3073,12.419857
All over but the Shoutin',7.8338,8.1582,7.8637,8.3485,8.1521,8.4225,9.9575,8.161,8.2032,8.7878,9.0059,8.2496,7.8935,8.0005,7.7477,8.8725,7.8817,8.9205,9.3327,7.8817,8.5903,8.1619,8.3403,9.1539,7.9099,7.844,7.8071,7.9031,7.7874,7.7828,8.29851
Oilers and Sweepers and Other Stories,15.2454,15.3536,14.9553,14.359,14.3768,14.3811,17.5806,15.708,15.4377,14.6536,14.4898,14.639,14.5664,16.6233,14.8574,15.856,18.8916,15.21,14.941,14.4743,14.5615,15.1998,14.9683,15.3376,16.0975,15.0328,18.0766,17.6914,15.6186,15.0044,15.472947
The Emperor's New Mind,14.779,14.2996,14.0615,14.5485,15.7737,14.6171,14.0608,15.7928,14.6606,14.126,15.9147,14.1717,13.4053,13.9844,14.0608,16.7065,15.5544,14.0982,14.1426,14.2619,16.3067,16.4619,13.5691,16.4379,14.0938,18.1998,13.5309,13.414,13.6925,13.5766,14.743443
Touching Fire: Erotic Writings by Women,19.5351,19.6402,20.9892,19.5235,21.2247,19.4462,20.048,20.2844,19.5788,22.7579,19.002,19.4236,19.3808,19.3123,21.1782,20.3794,19.0807,26.0319,18.9941,19.8854,19.9667,20.2546,20.7817,27.3451,19.8101,21.5579,19.4486,19.4211,19.3854,18.9184,20.419533
Hill Rat: Blowing the Lid Off Congress,10.5516,10.319,10.155,10.5568,11.0419,10.5574,10.1619,10.0604,10.2538,10.1593,10.0112,10.3541,10.1648,10.0807,10.6424,12.223,10.2804,10.1321,10.2144,10.458,10.1495,10.7057,10.1885,10.0693,10.0681,10.2001,10.5383,10.1086,10.8703,10.4131,10.389657
Personality of the Cat,27.2818,25.0141,24.9121,25.1533,25.6145,24.9276,25.9601,25.4192,25.9759,25.842,25.2865,24.9839,26.5393,24.7914,25.7534,25.074,26.0612,30.1381,27.0792,29.1493,27.1449,27.4862,30.8809,25.776,26.0283,25.7386,25.5677,25.7448,27.944,33.7762,26.56815
Best New American Voices 2003,11.3779,11.1344,10.8332,10.5019,10.5899,10.7732,10.5633,10.5164,10.5424,10.1067,13.056,10.4797,10.1949,10.8264,12.6225,10.3254,10.1602,10.4024,10.2411,10.6672,10.8299,10.069,10.347,10.1107,10.1534,10.0536,10.7923,10.1263,10.0257,10.1096,10.617753
Jackie by Josie: A Novel,14.8945,14.2472,15.5279,14.424,14.2557,14.1617,14.2536,14.2507,15.4716,14.5055,14.3876,14.5759,14.5504,14.5238,15.1839,14.8374,15.1259,14.454,15.2962,14.4656,14.4915,14.476,14.6139,14.3653,14.6785,14.3963,14.4201,16.9099,18.7956,15.9245,14.882157
Majorca: Culture and Life,21.3737,19.3253,19.2121,19.6048,18.9936,18.6361,19.7599,20.0671,18.6382,18.971,18.609,19.5002,19.7588,18.7885,18.2842,21.3273,18.3442,21.689,20.3788,18.6034,20.456,18.9951,20.1189,20.2305,18.4697,18.705,18.8933,19.4312,18.7634,19.7138,19.454737
The Universe of Galaxies,13.184,13.182,13.981,13.2012,12.9651,13.0267,12.7764,12.5913,12.8438,13.2888,13.0471,12.9011,12.8307,12.9136,13.0671,13.1753,13.6539,12.7803,13.6135,14.1802,13.1678,13.1189,12.8042,12.7543,12.7746,12.7714,13.0693,13.3804,12.7839,12.9148,13.091423
Healing Benefits of Garlic,16.7019,17.1333,16.5184,17.4667,17.1501,17.8193,16.8566,17.1493,16.7795,17.0831,17.7946,17.7898,16.6176,17.628,16.9117,16.9183,16.4761,16.4924,16.4556,16.7329,16.6615,16.6899,17.1584,17.4152,16.6948,16.8088,19.1232,16.8727,16.6564,16.8739,17.047667
George Meany And His Times: A Biography,15.0339,14.3892,14.462,14.4074,14.9597,14.372,14.7886,14.7695,14.7335,16.0279,14.4052,14.709,14.3484,14.5682,14.5529,16.9717,17.2147,14.215,14.7843,14.9207,15.0884,14.6336,14.8999,14.9741,14.5171,16.0779,14.3415,17.6972,15.0828,14.564,15.01701
American Dreams: Lost & Found,20.3146,19.1009,19.5722,19.7547,18.9623,19.3039,19.3979,20.3731,19.2829,19.1558,19.4498,19.6557,21.065,19.3636,19.3326,19.4548,21.8176,23.6011,21.4905,22.756,23.516,19.1713,19.2347,19.1726,19.3257,21.1963,20.4048,21.2602,20.074,19.8158,20.212547
