Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,7.5371,4.8835,4.816,4.6043,4.2579,5.0906,4.7886,7.4135,6.3644,5.9449,8.5448,6.2214,5.8867,4.4598,7.6167,6.8731,9.9599,5.9043,6.2752,5.431,6.1466,9.6567,7.6071,7.2587,7.6485,5.7421,4.5119,4.6119,4.5726,4.5058,6.171187
Ali & Lili,1.6364,1.739,1.8123,1.5994,1.5989,1.6658,1.5894,1.6424,1.592,1.6657,1.6934,1.5197,1.9016,1.8434,1.9384,1.6275,1.698,1.595,1.6673,1.6611,2.4472,3.5889,1.9002,1.6896,2.7937,1.598,1.5157,1.5135,1.779,2.3074,1.82733
Ide-Ide Pemikiran dari Kampus Maroon 2024,4.8812,3.3206,3.7726,4.5762,3.3221,3.6158,6.206,3.9346,4.3957,3.6285,4.1448,3.7401,5.4849,3.7094,3.7205,4.3999,3.5792,3.8737,6.5515,5.2509,3.91,7.6289,4.2484,5.2279,3.4418,4.1913,5.4719,3.6757,8.0052,5.3512,4.57535
Mitigasi Risiko Proyek Konstruksi di Indonesia,4.649,4.9693,4.4481,3.9941,4.0885,4.4231,4.3283,4.1316,4.1485,6.114,3.9943,4.1754,4.7575,4.2557,4.0146,4.1343,5.501,4.1878,4.5408,4.9929,4.3737,4.2088,4.7782,4.6332,4.138,4.153,4.9392,4.3004,4.156,4.3083,4.461253
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",5.2557,6.4194,10.8907,7.085,7.1948,5.4509,6.0771,7.1403,5.4536,7.4698,8.4064,6.2695,5.3469,5.3291,7.3825,11.1991,6.0884,5.2695,6.5002,10.4189,8.1448,5.555,5.3215,7.1647,9.7181,5.359,5.8908,5.2858,5.3018,5.5284,6.797257
Akal Yang Mengandung Hikmat,2.4172,2.116,2.7165,2.1812,2.278,2.153,2.1205,2.1668,2.1841,3.532,2.2023,2.8456,3.0728,3.2405,2.2428,2.0979,2.2926,2.379,2.363,2.2643,2.0742,2.1232,3.0185,3.4278,3.8443,3.4521,2.4469,2.2777,2.4015,2.1352,2.535583
79 Esai Aksi Bersama Wujudkan 17 SDGs,1.8145,1.5667,1.5833,2.4365,2.1576,2.1865,2.4519,4.0636,1.5756,1.281,1.4238,1.8509,1.4571,1.3551,1.3267,1.2837,1.476,1.558,1.9508,2.5826,1.3363,2.0674,2.167,2.5775,1.4732,1.5654,1.7676,1.2903,1.2838,1.2735,1.80613
Penghargaan Achmad Bakrie XX-2024,5.5625,8.2008,6.7655,6.2862,5.5013,5.3883,5.052,9.8703,5.936,6.1117,5.6694,5.9475,6.0479,8.0704,9.9728,7.7803,7.8314,5.0671,8.9085,7.1131,5.2602,6.7848,6.4829,5.7116,7.2511,6.6945,5.3089,9.0442,5.2741,5.2603,6.671853
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,5.4174,5.2025,5.3259,4.7726,5.0511,6.0855,9.2558,5.0554,8.1669,9.8695,4.5922,4.6047,5.7132,10.9173,11.4871,11.1515,11.0391,5.3836,7.1594,6.1674,5.3281,4.6038,5.9846,4.7275,4.7094,5.321,4.9551,7.3024,6.1851,6.4283,6.59878
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,3.6436,4.9139,8.1813,5.0419,3.7166,4.13,3.513,4.0117,4.0067,11.6642,5.235,4.5096,3.67,3.6975,6.6851,4.7698,4.9918,4.6938,4.377,3.348,4.2783,6.5115,4.8725,4.2699,5.4297,5.3062,3.8774,3.6791,3.5515,5.2814,4.861933
