Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,21.7617,16.0928,16.0915,16.0738,16.0882,16.0097,15.9968,16.0492,16.2645,16.336,16.3474,16.5245,16.4017,16.6367,16.3156,16.3162,16.3074,16.3151,16.4069,16.331,16.2944,15.7971,16.6201,16.4594,16.4176,16.5307,16.445,16.3894,16.2902,16.2993,16.473663
Journey Through Heartsongs,15.3632,15.1345,15.0649,15.0837,15.0951,15.0631,15.0316,15.0398,15.0555,15.0301,15.0095,15.0499,15.032,15.1416,15.0887,15.0557,15.0803,15.0433,15.0975,15.0624,15.0182,14.984,14.9897,15.0137,15.0336,15.0583,15.0421,15.0192,14.2777,14.2702,15.01097
In Search of Melancholy Baby,15.4261,15.4458,15.46,15.4561,15.4363,15.4405,15.4577,15.6131,14.9907,15.4469,15.4469,15.4344,15.4443,15.4734,15.4381,15.4173,15.4551,15.4108,15.4931,15.1471,15.4661,15.3635,15.4359,15.3971,15.3809,15.3827,15.4612,15.3891,15.9753,15.4304,15.433863
The Genesis of Ethics,15.2534,15.2621,15.1921,15.2851,15.3016,14.6843,15.4881,15.1463,15.5736,15.179,15.1563,15.1399,15.1546,15.2892,15.2588,15.2602,15.2607,15.2173,15.275,15.1976,15.222,15.2021,15.2049,15.226,15.3358,15.4365,15.3836,14.9708,15.4705,15.3374,15.245493
All over but the Shoutin',16.4385,15.8185,16.5102,16.466,15.8097,12.5676,11.8252,13.9167,16.541,19.4317,15.6657,16.4023,16.3923,16.9572,16.7883,16.5201,16.5642,16.3611,16.3608,16.3209,16.2934,16.8088,16.5478,16.2825,16.5961,16.7636,26.5336,27.261,27.0013,27.1138,17.561997
Oilers and Sweepers and Other Stories,25.1338,21.311,15.212,15.0754,15.0088,15.0473,14.9731,15.009,14.9766,14.9918,14.9948,15.0459,15.1186,15.1442,14.9396,14.9818,15.0095,15.1119,15.0096,15.0419,15.7677,15.0523,15.0596,15.0937,15.0945,15.1276,15.0568,15.1044,15.0869,15.1021,15.62274
The Emperor's New Mind,16.2817,16.3999,17.1864,17.696,16.3622,16.3444,16.2918,17.948,16.4344,16.3737,16.4163,16.3379,16.4436,16.4335,16.3582,16.369,16.3276,16.3532,16.3911,16.3383,16.3361,16.31,16.3402,16.3364,16.324,16.3671,16.4356,16.4107,16.3802,16.3473,16.48916
Touching Fire: Erotic Writings by Women,15.8163,15.957,15.8773,15.8638,15.7965,15.8141,15.8253,15.7342,15.7006,15.7562,17.4216,15.8818,15.8275,15.9309,15.8521,15.8769,15.9745,15.9196,15.7721,15.7501,15.7539,15.7166,15.6751,15.7111,15.6917,15.6948,15.616,15.6668,15.605,15.6061,15.836183
Hill Rat: Blowing the Lid Off Congress,16.3007,16.3286,16.2943,16.4367,16.2972,16.2187,16.2695,16.2686,16.2283,16.2141,16.1847,16.2329,16.3121,16.2451,16.2383,16.36,16.1909,16.4029,16.211,16.337,16.2291,16.3321,16.2238,16.2258,16.2579,16.0013,16.3937,16.2475,16.1435,16.1047,16.2577
Personality of the Cat,15.0691,14.9888,14.9379,15.034,14.9412,14.9593,15.0439,15.0425,14.6258,15.0235,15.0488,15.0972,15.059,15.1399,15.0342,14.9653,14.9972,15.0186,15.0155,15.0303,15.011,14.8701,14.8525,14.8883,14.8827,14.8546,14.9199,14.8863,14.8953,14.8795,14.967073
Best New American Voices 2003,15.1867,15.1462,15.1424,15.1404,15.0876,19.3115,20.6477,16.0547,15.9088,15.924,16.0007,15.9933,16.0734,15.8511,15.627,15.6324,15.2242,15.0662,15.1064,15.2375,15.1164,15.1276,15.1621,15.1458,15.1366,15.1107,15.1432,15.1831,15.1113,15.2446,15.694787
Jackie by Josie: A Novel,14.9368,14.8897,14.8676,15.8555,15.4319,15.0292,15.0063,15.0229,14.9297,14.9936,14.9335,14.8877,14.9671,15.0892,14.9122,14.9611,14.9324,14.9017,14.8882,14.9345,14.9079,14.8626,14.8146,14.944,14.9453,14.9037,14.8865,14.8958,14.9221,14.9493,14.980087
Majorca: Culture and Life,15.0769,15.0032,15.0254,14.8855,15.0413,14.9479,14.9491,15.0429,14.9729,14.9293,14.9548,14.9931,14.9711,15.0388,13.7764,15.4192,14.0503,15.0692,15.0486,15.0547,15.0123,14.9534,14.9579,14.9659,14.9845,14.9911,14.9886,14.9638,14.8497,15.0174,14.931173
The Universe of Galaxies,15.2356,15.1925,15.1188,15.4388,15.2397,15.1581,15.1665,15.2002,15.1082,15.0474,15.1021,15.0987,15.0768,15.0594,15.191,15.1054,15.1034,15.0695,15.4893,15.2322,15.3052,15.2663,15.2319,15.2229,15.2568,15.2589,15.2866,15.2825,15.2973,15.4264,15.208947
Healing Benefits of Garlic,15.7355,15.6633,15.5646,15.65,15.672,15.5494,15.5867,15.5411,15.5819,15.6462,15.5283,15.7274,15.6837,15.5426,15.5806,15.4512,15.4574,15.3978,15.5942,16.0971,15.4648,15.4506,15.4502,15.502,15.4009,15.3971,15.3322,15.4371,15.4473,15.5146,15.554927
George Meany And His Times: A Biography,15.6569,15.6694,15.6108,15.6064,15.6459,15.7804,15.655,15.7004,15.6246,15.5971,15.6013,15.6637,15.6174,15.6718,15.5075,15.4354,15.5303,15.4773,15.4874,15.3993,15.4237,15.4718,15.5272,15.5199,15.4333,15.4186,25.0767,25.8218,26.2373,26.2399,16.93695
American Dreams: Lost & Found,15.5627,15.1538,15.101,15.1207,14.9794,14.6124,14.693,14.6166,14.4856,14.5613,14.6884,14.6031,14.7437,15.06,14.5223,14.5033,14.5319,16.2573,14.6848,14.6932,14.5861,14.5454,14.5702,14.6102,14.6539,14.7584,14.5054,14.6303,14.5375,14.5093,14.769373
"Love, Love, and Love",14.583,14.6209,14.4908,14.2766,14.356,14.6966,14.1374,14.5676,14.469,14.4601,14.4384,14.4411,14.4238,14.2921,14.4515,14.3338,14.2396,15.1074,14.4515,14.2935,14.2647,14.291,14.2547,14.2736,14.1997,14.2866,14.2904,14.3359,14.3618,14.3723,14.402047
Henry VIII (English Monarchs Series),15.6852,15.7771,16.1397,15.8746,16.0069,16.121,15.8691,15.7744,15.7437,15.7323,15.7841,15.7357,15.8702,15.7172,15.7564,15.7199,15.7212,15.8614,15.774,15.7295,15.7222,15.7963,15.6918,16.05,15.7211,15.6929,15.7335,15.7405,15.6738,15.6273,15.794767
The Moral Intelligence of Children,15.8166,15.6929,15.8087,15.7682,15.9281,16.0211,15.6806,15.6961,15.6276,15.6813,15.9153,15.7166,15.9865,25.5039,32.0431,31.9189,32.1143,31.8456,32.4707,32.1574,32.1441,32.3492,32.17,31.9986,31.9799,31.9422,32.014,31.9652,21.4711,15.7068,23.904487
Cook Healthy: Cook Quick,15.2209,15.0754,15.0275,15.1251,15.3716,15.4344,15.3657,15.4624,15.2317,15.2179,15.2423,15.2792,15.292,15.2784,15.366,15.2713,15.2418,15.229,15.1949,15.2516,15.2607,15.2288,15.2517,15.2494,15.2259,15.1971,15.2028,15.2389,15.3452,17.351,15.324353
Sunset at Rosalie: A Novel,25.1806,25.5679,24.9845,24.923,25.0615,25.1257,25.1302,18.8792,14.972,15.0347,14.8843,14.9152,14.9471,14.8892,23.1062,15.3449,16.2493,15.118,14.8992,14.9073,14.9347,14.908,14.9344,14.9111,14.8029,14.9412,14.8741,14.9686,14.942,14.9055,17.77475
Proverbs For The People,17.978,15.4665,20.4557,16.9048,16.0293,15.9883,19.7654,16.6283,15.4476,15.4758,15.8871,15.3269,16.8757,15.3895,17.0112,15.6374,17.796,15.8582,15.1155,15.9165,15.6691,16.2643,15.2906,15.2165,15.165,15.176,15.181,15.1807,15.1327,15.1826,16.147073
Great American Countryside,14.5871,14.421,14.363,14.2646,14.4221,14.4616,13.2991,15.7432,15.5073,13.0172,13.9082,15.7639,14.5579,15.4217,15.9221,13.8426,14.9817,15.0944,15.3837,15.5601,14.8765,15.5859,15.4353,13.6862,15.587,15.5791,14.2179,14.9382,14.2763,15.5357,14.80802
Rob Whitlock: A Pioneer Boy in Old Ohio,17.3039,16.8384,16.9856,18.0526,16.9317,16.9778,17.321,18.0084,16.299,17.0743,16.1976,16.5913,16.916,16.4855,17.6843,17.6567,17.0079,22.2982,17.5097,17.4166,21.3245,17.1698,17.5752,18.2809,19.0131,17.7309,17.2938,15.4541,16.6696,16.8134,17.49606
British Hospitals (Britain in Pictures),16.3478,17.8918,17.8457,17.7942,17.6219,17.6785,17.6572,17.7645,17.64,17.6154,17.6565,18.0587,17.8207,17.8338,16.9182,17.1584,17.4722,17.7668,17.626,17.6311,17.6177,17.6454,15.0466,15.9278,17.0462,16.0814,16.3674,16.4879,13.4356,18.177,17.187747
The Practical Stylist,16.0969,16.1229,15.0266,14.464,15.0243,18.6658,15.8612,21.4178,25.2033,25.2021,25.1526,25.3021,25.258,25.138,25.107,25.0719,15.0204,14.9918,14.9879,14.8023,14.8686,14.8607,14.82,14.7727,14.7818,14.8203,14.8624,14.8865,14.8223,14.8303,18.07475
Civilization III: Instruction Manual,15.8181,15.8179,15.6864,15.6875,15.7021,15.7137,15.6862,15.6692,15.68,15.9877,15.7246,15.7827,15.8914,15.8398,15.8197,15.8501,15.8057,15.7843,15.8312,17.0478,15.8958,15.88,15.8312,15.8456,15.8585,16.3907,15.8584,15.8793,15.8526,15.8443,15.865417
Elvis in the Morning,15.7066,15.862,16.1155,15.447,15.5043,15.4748,15.4709,15.449,15.4038,15.4935,15.48,15.4299,15.5915,15.8772,15.5676,15.5091,15.5487,15.5511,15.5075,15.5073,15.5229,15.6534,15.5737,15.5095,15.5121,15.5128,15.4987,15.5077,15.4576,15.6152,15.56203
