Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,0.4033,0.7352,0.5243,0.3832,0.508,0.3837,0.5205,0.3838,0.3821,0.3812,0.3795,0.528,0.5321,0.5473,0.6469,0.6508,0.6332,0.7076,0.5819,0.5357,0.4122,0.5738,0.5549,0.6748,0.6918,0.6887,0.6467,0.6456,0.6491,0.6459,0.55106
Ali & Lili,0.6956,0.4455,0.4281,0.4201,0.4213,0.4632,0.4504,0.4222,0.4197,0.4235,0.4179,0.4558,0.4273,0.5413,0.4344,0.5426,0.4523,0.4213,0.4909,0.4235,0.419,0.4194,0.4263,0.4189,0.4173,0.4179,0.5326,0.5111,0.6143,0.7993,0.472433
Ide-Ide Pemikiran dari Kampus Maroon 2024,0.7953,0.7145,0.7094,0.7978,0.5738,0.4394,0.4421,0.4261,0.4206,0.4199,0.4218,0.4252,0.4166,0.5045,0.543,0.6794,0.7291,0.713,0.6999,0.6972,0.7033,0.6983,0.7,0.7038,0.719,0.5366,0.5311,0.8237,1.2501,0.9985,0.6411
Mitigasi Risiko Proyek Konstruksi di Indonesia,0.6792,0.676,0.4348,0.5432,0.7094,1.0793,0.7216,0.8446,0.7638,0.7048,0.5453,0.4356,0.4481,0.4172,0.4131,0.4329,0.4427,0.4149,0.4132,0.416,0.4191,0.4218,0.415,0.4449,0.589,0.4603,0.5153,0.4284,0.4241,0.4154,0.535633
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",0.4904,0.6434,0.5909,0.5014,0.9892,0.5139,4.0602,1.5756,0.5198,0.6407,0.5251,0.5866,0.4789,0.5667,0.5152,0.4949,0.4812,0.485,0.8175,0.5896,0.492,0.8016,0.5191,0.4974,0.488,0.4835,0.4867,0.4781,0.48,0.8211,0.720457
Akal Yang Mengandung Hikmat,0.4905,0.5619,0.5993,0.5366,0.5412,0.5044,0.4787,0.4825,0.5405,0.644,0.5128,0.4855,0.4866,0.5027,0.4779,0.4778,0.4841,0.48,0.4779,0.4782,0.9724,0.5165,0.5697,0.85,0.7782,0.7514,0.6164,0.6277,0.5881,0.5834,0.569897
79 Esai Aksi Bersama Wujudkan 17 SDGs,0.4889,0.6274,0.5398,0.477,0.4606,0.5279,0.4696,0.4606,0.4583,0.5718,0.565,0.4942,0.5794,0.4678,0.4599,0.4628,0.4634,0.4578,0.4609,0.4612,0.458,0.5291,0.5218,0.509,0.4727,0.47,0.4603,0.4583,0.4592,0.4619,0.49182
Penghargaan Achmad Bakrie XX-2024,0.5902,0.4805,0.5115,0.5152,0.4606,0.453,0.4494,0.4481,0.4504,0.454,0.4562,0.4534,0.4486,0.4558,0.4532,0.4507,0.6236,0.488,0.5523,0.4713,0.4742,0.4613,0.4705,0.4553,0.4549,0.4613,0.4556,0.462,0.5286,0.459,0.47829
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,0.6127,0.4567,0.438,0.4438,0.4396,0.4339,0.439,0.44,0.4323,0.4308,0.5162,0.5097,0.711,0.5548,0.4917,0.5486,0.5464,0.4488,0.4463,0.4368,0.4409,0.4427,0.4975,0.5955,0.5368,0.4651,0.4607,0.4589,0.4561,0.456,0.486243
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,0.5867,0.6122,0.5538,0.6467,0.4901,0.4339,0.9432,0.422,0.9702,0.9551,0.8349,0.8094,0.4637,0.4307,0.4283,0.4262,0.4229,0.4212,0.4811,0.4272,0.4254,0.4239,0.4198,0.4198,0.4239,0.4972,0.4375,0.5567,1.2286,3.2981,0.663013
