Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,0.0793,0.0769,0.0774,0.0748,0.0748,0.0756,0.0748,0.0744,0.0749,0.0749,0.0748,0.0745,0.0775,0.0735,0.0726,0.076,0.0728,0.0747,0.075,0.0748,0.0749,0.0783,0.2569,0.2711,0.2594,0.2944,0.1853,0.099,0.1072,0.0989,0.107647
Journey Through Heartsongs,0.1141,0.103,0.1025,0.0986,0.0978,0.0971,0.141,0.257,0.2419,0.2945,0.095,0.1602,0.2277,0.1058,0.1179,0.2151,0.2044,0.3291,0.1113,0.0943,0.0915,0.0919,0.0919,0.1762,0.176,0.1752,0.169,0.1598,0.0938,0.1444,0.1526
In Search of Melancholy Baby,0.1578,0.1537,0.152,0.1885,0.0993,0.1459,0.151,0.1508,0.1525,0.3795,0.1767,0.2203,0.1655,0.1156,0.0895,0.0894,0.0891,0.089,0.0891,0.1179,0.1423,0.1422,0.1059,0.087,0.1318,0.1433,0.1139,0.0876,0.0881,0.0883,0.136783
The Genesis of Ethics,0.1386,0.1311,0.1033,0.111,0.1259,0.1253,0.124,0.1252,0.1173,0.1166,0.1166,0.118,0.1151,0.0998,0.1017,0.1,0.1249,0.1113,0.1032,0.1568,0.1064,0.1312,0.2808,0.4029,0.1315,0.1037,0.1036,0.1176,0.1927,0.1844,0.13735
All over but the Shoutin',0.2449,0.1513,0.1415,0.1114,0.0988,0.0949,0.098,0.0941,0.0934,0.0941,0.0937,0.0976,0.0937,0.0935,0.0939,0.094,0.0937,0.0976,0.0974,0.0982,0.0951,0.0952,0.0946,0.0923,0.0939,0.0957,0.1047,0.0934,0.0924,0.096,0.1043
Oilers and Sweepers and Other Stories,0.0592,0.0586,0.0599,0.0626,0.0575,0.063,0.0577,0.0564,0.0565,0.057,0.0613,0.0617,0.1112,0.1029,0.0878,0.0693,0.0609,0.0578,0.0573,0.0572,0.0708,0.069,0.0748,0.0604,0.0575,0.0821,0.0591,0.0592,0.0587,0.0894,0.06656
The Emperor's New Mind,0.1029,0.2315,0.2277,0.0987,0.1636,0.1964,0.2436,0.1091,0.1,0.1001,0.0986,0.0982,0.1017,0.0976,0.0973,0.097,0.1001,0.0967,0.098,0.0971,0.0992,0.0996,0.0982,0.2197,0.1075,0.1025,0.1,0.1276,0.1266,0.0978,0.124487
Touching Fire: Erotic Writings by Women,0.0708,0.0703,0.0811,0.0722,0.0728,0.0864,0.0676,0.0661,0.0488,0.0486,0.0495,0.065,0.0947,0.0848,0.074,0.0683,0.0561,0.0476,0.0578,0.0608,0.0646,0.0753,0.053,0.0594,0.0462,0.0473,0.049,0.0459,0.0459,0.0458,0.062523
Hill Rat: Blowing the Lid Off Congress,0.0516,0.0513,0.0516,0.0547,0.0513,0.0514,0.0573,0.0579,0.0578,0.0577,0.0584,0.0553,0.0516,0.05,0.0501,0.0522,0.0525,0.0532,0.0549,0.0527,0.0523,0.0523,0.0522,0.0523,0.0523,0.05,0.0511,0.05,0.0516,0.0508,0.052947
Personality of the Cat,0.1025,0.1018,0.1,0.0995,0.0984,0.0995,0.0978,0.0983,0.0971,0.0977,0.0972,0.0969,0.0974,0.0975,0.0969,0.0981,0.0985,0.0991,0.0997,0.1031,0.1367,0.1136,0.0976,0.0969,0.0971,0.0966,0.0962,0.096,0.0988,0.0968,0.10011
Best New American Voices 2003,0.1324,0.1162,0.1509,0.1229,0.0968,0.0909,0.0856,0.0886,0.0853,0.0837,0.0987,0.0851,0.0858,0.084,0.0848,0.0842,0.085,0.0836,0.0884,0.0879,0.1082,0.0891,0.0865,0.0858,0.0866,0.0859,0.0855,0.0885,0.09,0.0853,0.09374
