Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,0.0053,0.0039,0.0031,0.003,0.0029,0.0136,0.0054,0.0044,0.0046,0.0043,0.0042,0.0208,0.0051,0.0032,0.0031,0.0029,0.1374,0.0051,0.0034,0.0043,0.0028,0.0026,0.0027,0.0026,0.0025,0.0027,0.0027,0.0027,0.0026,0.0025,0.00888
Ali & Lili,0.0031,0.0023,0.0021,0.0022,0.0021,0.0022,0.0021,0.0022,0.0021,0.0021,0.0021,0.0022,0.0022,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.002157
Ide-Ide Pemikiran dari Kampus Maroon 2024,0.0034,0.0032,0.003,0.003,0.0029,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0028,0.0027,0.0029,0.0028,0.0028,0.0027,0.0026,0.0027,0.0026,0.0026,0.0027,0.0027,0.0026,0.0026,0.0025,0.0026,0.0029,0.002783
Mitigasi Risiko Proyek Konstruksi di Indonesia,0.0032,0.0029,0.0029,0.0027,0.0028,0.0027,0.0027,0.0025,0.0026,0.0027,0.0026,0.0026,0.0027,0.0027,0.0026,0.0026,0.0026,0.0027,0.0027,0.0026,0.0027,0.0026,0.0026,0.0026,0.0026,0.0027,0.0027,0.0029,0.0027,0.0026,0.002693
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",0.0026,0.0025,0.0024,0.0025,0.0024,0.0024,0.0024,0.0023,0.0023,0.0024,0.0024,0.0023,0.0023,0.0023,0.0023,0.0023,0.0024,0.0023,0.0023,0.0024,0.0023,0.0023,0.0023,0.0024,0.0024,0.0024,0.0023,0.0023,0.0023,0.0024,0.002363
Akal Yang Mengandung Hikmat,0.0035,0.0031,0.0028,0.0028,0.0028,0.0028,0.0027,0.0028,0.0027,0.0027,0.0033,0.003,0.0027,0.0026,0.0026,0.0027,0.0026,0.0028,0.0028,0.0026,0.0028,0.0026,0.0025,0.0025,0.0026,0.0026,0.0027,0.0025,0.0025,0.0026,0.002743
79 Esai Aksi Bersama Wujudkan 17 SDGs,0.0033,0.0031,0.0029,0.0028,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0026,0.0027,0.0031,0.0027,0.0028,0.0025,0.0029,0.0027,0.0026,0.0027,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0025,0.002717
Penghargaan Achmad Bakrie XX-2024,0.0366,0.0342,0.0334,0.0314,0.0317,0.0314,0.0333,0.0309,0.0296,0.0302,0.0297,0.0292,0.0298,0.0307,0.0292,0.0291,0.0298,0.0301,0.0292,0.0321,0.0289,0.0294,0.0327,0.0287,0.0288,0.0285,0.0289,0.0285,0.051,0.0289,0.031197
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,0.0272,0.0582,0.0069,0.0168,0.0067,0.0055,0.0065,0.0055,0.0052,0.0056,0.0062,0.0057,0.0054,0.0179,0.0084,0.0056,0.0053,0.0053,0.0054,0.0044,0.0044,0.0049,0.0053,0.0057,0.0051,0.0044,0.0057,0.0053,0.0051,0.0025,0.008737
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,0.0034,0.0032,0.0031,0.003,0.003,0.0029,0.0028,0.0028,0.0029,0.0028,0.0028,0.0028,0.0028,0.0038,0.0043,0.0027,0.0027,0.0028,0.0028,0.0027,0.0028,0.0026,0.0027,0.0027,0.0026,0.0043,0.0041,0.0046,0.0041,0.0026,0.003107
