Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,4.7383,6.0009,4.9781,4.5479,4.6676,4.5981,4.6352,4.2369,4.6835,4.8847,4.643,4.9679,4.9907,4.6937,4.652,4.6314,4.4455,4.6495,4.6243,4.5849,4.4959,4.4332,4.5244,4.4536,4.4405,4.6027,4.475,4.6519,4.4296,4.4783,4.661307
Journey Through Heartsongs,5.5834,7.1781,6.2591,5.9062,5.8876,5.6083,5.5486,5.7727,5.8329,5.7464,6.2156,5.7106,5.9251,5.8492,5.9224,5.5793,5.6972,5.6472,6.1128,6.3713,6.3711,5.6308,5.6702,5.7264,5.8902,6.2046,5.7854,5.555,5.5298,5.5405,5.875267
In Search of Melancholy Baby,2.6664,2.9325,2.5823,3.5093,2.5893,2.6075,2.5335,2.7325,2.5767,2.6138,2.8565,2.5822,3.6679,3.521,2.8467,2.6581,2.9183,2.7567,2.7647,2.6465,2.667,2.6625,2.7846,2.7264,2.6582,2.6662,2.668,2.6614,3.3838,3.1662,2.820223
The Genesis of Ethics,3.5848,3.6158,3.5389,3.5594,3.7382,3.4765,3.351,3.374,3.6189,3.4416,3.6022,3.7125,3.6463,3.5746,3.535,3.5524,3.3875,3.559,3.6127,3.3891,3.9044,3.3953,4.0809,3.5397,3.3829,3.515,3.3436,3.7245,3.637,3.3874,3.55937
All over but the Shoutin',4.1117,6.8171,4.1033,4.1562,3.9419,3.8894,3.8313,3.9949,3.8672,3.9477,3.9118,3.8478,3.8144,3.8231,3.7906,3.8639,3.8065,3.81,4.0094,3.617,3.8902,3.6551,3.612,3.8219,3.6944,4.0319,4.0442,3.8152,3.7208,3.7651,3.966867
Oilers and Sweepers and Other Stories,4.4182,5.2933,6.1464,4.414,4.1075,4.1992,4.3103,4.1051,4.0649,4.3219,4.7121,4.0555,4.0271,4.1779,4.0011,4.0116,4.3814,5.3849,4.1515,4.3336,4.4157,4.1093,4.0243,4.2232,4.216,4.7113,4.1985,4.1582,4.078,4.0177,4.35899
The Emperor's New Mind,3.1431,3.37,4.187,3.8873,4.5763,5.6326,3.5111,3.4377,3.2459,3.3788,3.1865,3.8574,3.4992,3.2714,3.3148,3.2612,3.2882,3.2435,3.4211,3.2638,3.8803,3.3337,3.2488,4.6589,3.5119,3.3563,3.3048,3.262,3.5205,3.2584,3.577083
Touching Fire: Erotic Writings by Women,3.4102,3.1633,3.2159,3.1605,3.177,3.1567,3.13,3.0176,3.0762,3.0051,3.1364,3.1519,3.0812,2.9998,4.6118,5.4015,3.9042,4.0029,4.138,2.9582,3.1236,2.9151,3.1285,3.1279,2.9691,3.016,2.9372,2.889,3.6203,2.9726,3.319923
Hill Rat: Blowing the Lid Off Congress,4.9393,4.921,4.9647,5.4223,4.8746,5.0261,4.8279,5.5507,5.0588,4.8244,4.9462,4.8467,4.8819,4.6268,5.1531,5.4573,6.6903,4.8028,4.8044,4.9828,4.6754,5.0533,5.3123,4.7554,5.1607,4.7201,5.1018,5.0956,4.8525,5.3841,5.05711
Personality of the Cat,2.7445,3.292,2.6532,2.7608,2.6432,2.9506,2.6177,2.8122,2.7321,2.9647,2.6071,2.8357,3.5006,3.0582,2.7506,2.8762,2.6259,2.9588,2.8173,2.7293,3.0111,2.6397,2.8347,2.7571,2.7355,2.8553,2.8881,2.6588,2.7528,2.6704,2.824473
