Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,1.0718,1.2174,1.636,0.9911,1.2552,1.0961,0.982,1.6881,1.2774,1.317,1.135,1.5784,1.1253,1.0297,1.2184,1.1764,1.3303,1.0986,1.0931,1.0066,1.0637,1.0056,1.1126,1.0423,1.012,1.07,1.0597,1.335,1.3623,1.0215,1.180287
Ali & Lili,0.4666,0.4618,0.4657,0.4572,0.4569,0.511,0.5403,0.5085,0.536,0.4662,0.5605,0.7109,0.7511,0.5873,0.5392,0.6176,0.5792,0.4617,0.4533,0.4597,0.4561,0.4546,0.4551,0.4571,0.4533,0.4584,0.5357,0.4571,0.5203,0.4789,0.510577
Ide-Ide Pemikiran dari Kampus Maroon 2024,0.3978,0.3947,0.3925,0.3944,0.3955,0.3892,0.388,0.3886,0.3872,0.3893,0.5872,0.3998,0.5841,0.5938,0.564,0.5462,0.5909,0.5267,0.5882,0.4803,0.5519,0.4499,0.5549,0.7265,0.62,0.667,0.3978,0.4014,1.0407,0.6724,0.515363
Mitigasi Risiko Proyek Konstruksi di Indonesia,1.7928,1.5196,1.5981,1.2514,1.0975,1.5018,1.5107,1.1738,1.3312,0.9707,0.9517,0.9545,1.2181,0.9677,1.0416,0.9924,1.0136,0.9905,1.0954,1.0444,0.9693,0.9517,0.9455,1.0837,1.5689,1.7278,1.5707,1.5616,1.5536,1.5537,1.250133
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",0.4287,0.419,0.4217,0.4173,0.3964,0.4078,0.4075,0.3924,0.3436,0.3172,0.2462,0.2415,0.4067,0.3991,0.4623,0.3821,0.392,0.372,0.3923,0.4146,0.4851,0.2503,0.2776,0.2632,0.2879,0.4592,0.4276,0.4202,0.417,0.4178,0.378877
Akal Yang Mengandung Hikmat,1.0055,1.0025,1.014,0.6072,0.7929,1.0452,1.0512,1.0363,0.9491,0.9262,0.674,0.8527,0.9842,0.8937,0.7947,0.8157,0.9747,0.7177,0.5938,0.612,0.5701,0.5768,0.6389,0.6484,0.6295,0.8922,0.7255,0.9504,0.9373,0.6825,0.81983
79 Esai Aksi Bersama Wujudkan 17 SDGs,0.2394,0.2301,0.227,0.2731,0.2786,0.2917,0.4304,0.3788,0.2353,0.238,0.2501,0.2182,0.2635,0.2571,0.2566,0.2418,0.2335,0.2242,0.2263,0.2151,0.2172,0.2159,0.2189,0.222,0.2161,0.2189,0.2157,0.2165,0.2167,0.2191,0.246193
Penghargaan Achmad Bakrie XX-2024,0.4298,0.3762,0.3705,0.3718,0.371,0.3713,0.3674,0.37,0.3689,0.3721,0.3683,0.3706,0.3723,0.4089,0.4867,0.422,0.6663,0.6253,0.6197,0.7299,0.4937,0.4199,0.4072,0.3953,0.3857,0.3865,0.3868,0.3853,0.4329,0.398,0.43101
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,0.3432,0.2738,0.2786,0.327,0.3301,0.3441,0.352,0.3588,0.328,0.2376,0.2127,0.3064,0.3648,0.3647,0.3605,0.3668,0.2217,0.2065,0.2037,0.2041,0.2048,0.2078,0.2054,0.2452,0.2085,0.2093,0.196,0.2144,0.1963,0.3283,0.27337
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,0.9888,1.0246,0.6071,0.5985,0.5994,0.5932,0.5884,0.595,0.597,0.5887,0.5943,0.7397,0.6032,1.9367,3.0062,0.6552,0.6084,0.7175,0.7864,0.73,0.8002,1.0365,0.6063,0.7272,0.6109,0.623,0.6612,0.8061,0.7804,0.6686,0.815957
Desain Percobaan: Teori dan Aplikasi,1.2165,0.9333,0.8735,0.8777,0.8868,0.8749,1.0934,1.1647,0.888,0.884,0.8692,0.8804,1.056,0.8918,0.9009,0.8866,0.888,0.8981,0.9661,0.953,0.8915,0.8938,1.2304,0.8994,0.8455,0.9531,0.904,0.9126,0.9378,0.9894,0.94468
"Wanita Masa Depan: Peran, Identitas, Dan Kontribusi Dalam Menghadapi Tantangan Kehidupan",1.0643,1.3477,1.7205,1.019,1.1469,1.312,0.9936,0.9859,0.9815,0.9786,1.3195,1.3339,1.1158,0.9883,1.102,1.22,1.0453,1.031,1.1798,1.4305,1.2246,1.2678,1.3551,1.1475,0.9918,1.1426,0.9804,0.9868,0.9904,0.9848,1.146263
Jalan Kebijaksanaan: Mengatasi Kesulitan Dan Menginspirasi Kehidupan,1.5307,1.2594,2.5564,1.765,1.036,0.9784,0.9859,0.9906,1.2354,1.3022,0.9915,0.9873,0.9918,1.1127,1.6464,1.0687,1.0351,1.3797,1.4167,1.3326,1,1.0326,0.9781,0.9839,0.9819,1.1718,1.1627,1.2501,1.1144,1.0112,1.20964
Cerita dari Perguruan Tinggi,0.7583,0.6745,0.6665,0.6697,1.0132,0.7546,0.7089,0.8312,0.6878,0.6772,0.6674,0.666,0.668,0.6669,0.7142,1.1756,0.8302,0.7054,0.7715,0.6903,0.6626,0.6643,0.717,1.2163,0.9004,0.7591,0.6774,0.6787,0.6613,0.6658,0.753343
