Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,5.5695,6.3174,4.3701,5.086,7.4713,8.3841,3.939,3.9793,4.0876,6.1332,4.0571,5.4191,4.403,3.8826,3.9825,4.0453,3.8706,6.6262,3.8829,4.232,6.4282,5.6865,6.2298,10.2471,3.9509,4.3927,4.2181,6.2462,8.8649,4.3369,5.34467
Journey Through Heartsongs,6.2779,12.023,6.7404,5.0944,9.2218,5.2067,5.099,6.9088,11.2534,6.4124,7.9412,5.0905,7.0696,5.0495,6.1854,5.9861,7.5332,5.9874,11.4987,6.3089,7.4479,8.0548,5.9754,7.27,7.8156,5.1032,7.596,9.9108,5.6913,5.4677,7.107367
In Search of Melancholy Baby,5.5891,5.8932,2.5955,8.0108,3.7744,2.7588,2.4218,2.423,3.7909,3.9012,3.4451,3.6221,5.7899,3.8394,2.5121,2.8396,3.241,2.5806,2.782,2.9336,3.3127,2.7245,2.9908,4.1631,4.0417,2.9326,4.1486,3.7979,2.8937,3.6218,3.645717
The Genesis of Ethics,3.014,3.4214,3.1773,3.157,3.1063,4.7606,3.4618,3.1494,3.1819,2.999,4.1246,3.2709,3.1186,3.3312,4.5199,4.7324,4.2082,3.1387,3.7914,3.1678,3.549,3.5072,3.6116,3.7757,4.5038,3.2952,3.3807,3.3522,3.2181,2.9538,3.532657
All over but the Shoutin',3.915,3.3043,5.0605,4.6436,3.2159,6.85,5.1091,5.3084,5.4204,10.0004,7.146,4.2191,4.092,5.33,4.5997,3.9264,3.3554,4.0421,4.7848,5.661,5.2564,4.5874,3.9763,3.5024,4.7665,3.7904,6.2796,4.9923,3.2374,4.2587,4.82105
Oilers and Sweepers and Other Stories,3.7345,4.8409,3.9474,4.7591,3.7554,5.0209,5.2369,5.0601,4.6022,3.7264,4.1677,4.0004,4.6751,4.3226,4.3115,4.6509,5.0954,5.0048,4.5995,3.9982,5.931,3.8076,4.2376,3.9867,5.4235,4.0951,4.5673,5.812,4.4825,3.8435,4.523223
The Emperor's New Mind,3.1695,3.5878,2.7281,2.9299,2.6698,3.0734,2.8572,5.3334,2.7042,2.6587,2.6391,2.8267,3.7144,3.6201,6.7133,3.5329,2.7204,4.0066,3.9012,3.708,2.8593,2.6069,2.7998,7.1133,4.6691,2.8345,2.6982,2.9751,3.6218,2.7423,3.467167
Touching Fire: Erotic Writings by Women,4.291,3.9927,4.5615,4.3182,2.888,3.7099,4.4318,2.7549,2.6908,8.6197,3.411,3.2295,2.7148,2.9756,2.7049,2.8665,2.6916,2.8492,3.0079,3.0202,2.871,3.0225,3.8057,3.8674,2.8369,2.897,2.7184,3.5434,3.1057,4.3048,3.490083
Hill Rat: Blowing the Lid Off Congress,5.6587,6.581,6.8716,5.5367,6.0883,5.1887,4.5392,4.2744,5.1059,4.4461,5.3024,5.6894,4.8608,6.2554,4.1299,5.2562,6.1424,5.4714,6.324,4.6396,5.1212,5.4306,6.1882,4.1842,6.0738,4.5631,4.4084,11.0939,10.0041,6.7178,5.738247
Personality of the Cat,0.6644,0.631,0.6647,0.6336,0.8584,1.108,0.7104,0.6904,0.6434,0.6405,0.6398,0.6385,0.6395,0.7711,1.0574,0.9867,1.0843,1.0915,1.0693,1.0774,0.6557,0.6454,0.632,0.7461,0.6419,0.6337,0.6319,0.6315,1.0397,0.8679,0.78087
Best New American Voices 2003,1.6667,1.9695,1.5642,1.5019,1.6816,1.6527,1.488,1.4978,1.5923,1.5364,1.4883,1.5097,1.7319,1.5071,1.7876,2.654,2.5074,2.4653,2.5924,2.5023,2.1225,1.7757,1.4459,1.442,1.9512,2.5111,2.4885,1.5114,1.4356,1.546,1.837567
Jackie by Josie: A Novel,4.4451,3.0005,3.8149,4.6231,2.8414,3.0518,7.4184,3.0245,7.3952,3.9817,3.4546,3.2057,3.3191,3.0338,3.4859,2.9235,3.1407,2.9652,4.5956,3.5492,3.0015,3.18,2.9954,3.4276,2.986,3.092,3.0028,7.4807,2.9516,3.1035,3.7497
Majorca: Culture and Life,4.2252,3.2934,3.9522,2.9281,2.4488,3.6029,3.3471,3.2668,2.5706,2.7393,2.6066,3.2554,2.6719,2.7531,3.1445,2.6887,2.7028,2.5136,7.7896,2.5349,2.8879,4.3347,3.1002,2.5034,5.6956,3.4287,4.8721,7.0275,2.8004,2.8299,3.483863
The Universe of Galaxies,4.942,4.3954,4.2445,4.1453,4.5307,5.8662,4.7996,4.2721,3.9601,4.2232,5.0999,4.3645,3.9875,4.0129,4.1766,3.9436,5.9776,5.7027,5.0221,4.0139,4.0049,4.2947,5.2433,5.5509,6.341,5.4981,4.2852,5.2911,4.4196,7.8487,4.815263
Healing Benefits of Garlic,4.7217,4.8222,4.9613,3.4978,3.6831,3.3101,6.6106,3.6214,3.5193,3.5839,3.9423,3.6194,3.5902,3.5464,3.6808,4.6515,5.6671,4.8985,3.4181,3.5449,3.3926,10.1894,5.986,5.3086,6.926,9.3177,5.4636,4.0053,5.863,4.201,4.784793
George Meany And His Times: A Biography,10.0089,7.0947,4.2061,4.7309,6.0363,15.2203,5.9626,5.4287,4.8366,11.5124,6.9525,8.484,6.5667,4.7893,6.1314,4.3657,4.2837,4.7049,5.3455,4.4308,4.2417,5.9023,6.6765,5.1441,5.0314,4.3388,4.1401,4.2638,4.168,4.1386,5.971243
American Dreams: Lost & Found,4.101,4.3261,4.2956,2.971,2.6661,4.04,4.4129,4.452,3.7003,5.4842,6.5992,2.8293,5.2339,5.5711,4.6707,4.084,3.6539,2.7178,3.0549,3.1637,4.0981,3.6836,3.8069,2.8986,2.8058,2.6627,3.2963,3.5404,2.8394,2.6478,3.810243
"Love, Love, and Love",3.0106,3.4248,3.71,4.7095,5.0067,4.4823,3.3083,3.0804,2.9225,3.0936,2.9459,4.0235,4.1014,3.078,3.7193,2.8072,3.5466,2.7297,3.1053,3.2303,3.7149,3.2792,4.8073,3.7856,4.1753,2.8084,2.9312,2.8987,3.5162,4.7539,3.556887
Henry VIII (English Monarchs Series),4.1514,4.2589,5.7123,3.7172,4.6217,4.3965,3.6235,4.8816,5.2239,4.3301,6.0304,6.3481,4.5299,5.069,4.564,5.7069,5.5529,4.2203,5.4376,4.3598,5.9285,4.9659,6.2032,4.8976,4.3512,5.5617,4.1451,5.5979,5.0815,4.9962,4.948827
The Moral Intelligence of Children,5.194,3.8862,4.5238,6.3839,7.3623,5.6962,5.42,4.8212,4.3973,4.5815,4.2208,4.2681,3.991,5.193,6.5696,5.0433,5.1248,5.2023,4.6426,4.494,4.1867,4.9773,5.1087,5.6689,4.0289,4.4341,4.2514,3.7618,4.0946,4.6337,4.872067
Cook Healthy: Cook Quick,3.1954,3.2428,3.0671,3.3588,2.4808,2.3366,2.6245,2.7152,2.7018,2.9079,2.6496,2.9162,3.7575,2.595,3.2086,2.7702,2.5208,3.8421,3.62,2.9241,3.0272,5.984,3.8939,3.0478,3.1915,2.904,2.3576,3.259,3.0551,3.1129,3.108933
Sunset at Rosalie: A Novel,7.2909,3.1891,3.5395,3.3145,6.7402,3.265,3.6117,3.1611,3.9692,3.2235,3.2011,3.0102,3.4019,3.3833,4.8621,4.4046,4.477,3.3387,3.834,3.4356,3.0934,3.679,3.2226,3.752,3.1986,3.4138,3.0325,3.858,3.3907,4.6636,3.79858
Proverbs For The People,3.9028,3.3963,4.4136,3.7807,3.3215,4.8814,4.8316,3.6892,3.6028,4.4381,4.7502,4.7716,4.6948,4.5298,3.7334,3.635,4.2678,4.6902,3.8805,4.5822,4.59,3.4286,3.8175,3.5553,3.6448,4.2983,3.7301,5.2499,4.3337,3.9918,4.147783
Great American Countryside,7.0126,5.7059,6.408,8.8762,9.4952,10.6673,7.8688,8.0096,8.2891,6.6426,7.3095,6.338,5.8687,5.7812,5.7431,5.9334,6.419,5.8611,5.6846,5.5457,6.344,8.3481,6.6413,7.4989,7.1843,6.15,6.9012,6.4364,10.4817,6.6617,7.07024
Rob Whitlock: A Pioneer Boy in Old Ohio,3.2021,2.7675,3.6438,4.9069,3.6829,2.7569,2.3919,4.2288,3.9105,2.4627,2.3361,3.1112,3.4852,2.6131,2.4127,2.5718,2.5769,2.7742,2.4494,2.4272,3.1579,2.4156,3.7235,2.7884,2.4867,2.7615,2.685,2.3678,2.4401,3.067,2.95351
British Hospitals (Britain in Pictures),3.9468,4.3238,4.369,4.3834,4.2478,4.3433,6.0537,4.3947,4.0684,5.9797,6.6876,6.1954,4.0529,4.4472,4.364,3.9974,5.6672,4.6652,4.4575,3.9947,4.185,4.3959,4.6182,6.1981,4.3788,4.4044,4.1963,3.9252,4.5923,4.2561,4.659667
The Practical Stylist,5.4654,3.299,3.4401,3.3556,3.9448,3.5288,3.339,3.3957,4.5709,3.5075,3.5853,3.2953,3.4723,3.3336,3.6597,3.2727,4.3381,5.097,5.0073,4.9118,3.8292,4.9202,4.6764,5.1757,3.81,4.737,4.2352,4.6079,3.9017,3.6612,4.045813
Civilization III: Instruction Manual,3.9708,3.7332,3.5037,7.7817,3.5618,3.609,3.4842,3.9765,4.164,3.5082,5.1503,4.9663,7.8857,5.3541,4.9925,4.108,3.4464,4.232,3.6841,4.9293,8.7809,4.0126,3.6028,3.5865,4.004,6.7471,5.5991,4.1723,4.0222,3.3562,4.597517
Elvis in the Morning,4.1838,3.7094,3.9033,4.7444,5.3591,3.8149,3.9172,4.6869,5.5901,3.8204,4.9276,5.059,5.1136,3.942,5.1543,4.7291,4.0574,4.231,5.2933,4.0696,4.1852,4.8101,3.8883,4.4322,6.154,4.6357,3.6766,4.3867,5.6514,5.4023,4.584297
