Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,0.8741,0.8208,0.8102,1.0895,1.4497,1.3404,1.0181,1.3037,1.1458,1.0789,1.1867,0.9651,0.8267,0.8236,0.8085,1.0284,1.1826,0.8304,0.8186,0.8176,0.8283,0.8099,0.8853,0.9247,0.8509,0.8166,0.8158,0.8169,0.8153,0.8602,0.954777
Ali & Lili,0.3783,0.3776,0.3915,0.3992,0.3796,0.3785,0.3811,0.3815,0.3803,0.3792,0.3805,0.3796,0.3796,0.3846,0.3854,0.3747,0.3796,0.3795,0.3791,0.3802,0.3805,0.3787,0.5177,0.6442,0.4195,0.3813,0.3962,0.4223,0.3886,0.3959,0.398483
Ide-Ide Pemikiran dari Kampus Maroon 2024,0.4282,0.6046,0.4193,0.333,0.3241,0.3272,0.3268,0.3308,0.3286,0.3257,0.3269,0.327,0.3308,0.3383,0.5572,0.3302,0.3756,0.3389,0.3223,0.3462,0.3352,0.3326,0.3306,0.3281,0.3869,0.3263,0.329,0.3322,0.3469,0.3281,0.357253
Mitigasi Risiko Proyek Konstruksi di Indonesia,1.0385,0.939,0.8701,0.7702,0.7673,0.7621,0.7617,0.7596,0.7609,0.7591,0.9647,0.9377,0.9254,0.8466,0.783,0.7289,0.7275,0.7292,0.7277,0.7328,0.7316,0.7914,0.7316,0.7276,0.7302,0.7289,0.7321,0.7311,0.7282,0.7295,0.788473
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",0.0707,0.0696,0.0693,0.0707,0.0692,0.0699,0.0691,0.0693,0.0694,0.0707,0.0694,0.0692,0.0688,0.0689,0.0687,0.0707,0.069,0.0702,0.0693,0.0689,0.069,0.0704,0.0699,0.0694,0.0693,0.0692,0.069,0.07,0.0688,0.0684,0.06948
Akal Yang Mengandung Hikmat,0.4799,0.4735,0.4746,0.5183,0.4733,0.4712,0.4742,0.4713,0.4712,0.4715,0.4722,0.4699,0.4705,0.4711,0.4693,0.4695,0.4683,0.4694,0.4688,0.4699,0.4723,0.5147,0.4704,0.4721,0.4681,0.4712,0.4743,0.471,0.47,0.4714,0.474447
79 Esai Aksi Bersama Wujudkan 17 SDGs,0.0703,0.0707,0.0689,0.0701,0.0688,0.0688,0.069,0.0704,0.0694,0.0694,0.069,0.069,0.0693,0.0896,0.0709,0.0694,0.0702,0.0699,0.0699,0.07,0.0694,0.069,0.0689,0.069,0.0698,0.0692,0.0694,0.0689,0.071,0.0696,0.07024
Penghargaan Achmad Bakrie XX-2024,0.3108,0.5325,0.3438,2.1672,2.7345,2.2136,1.8719,1.6062,1.3663,0.8903,0.3366,0.3518,0.3657,0.3716,0.3846,0.3946,0.4082,0.5015,0.3615,0.3219,0.4037,0.4213,0.388,0.3651,0.3459,0.3245,0.316,0.3132,0.3112,0.3115,0.711183
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,0.0646,0.0594,0.0591,0.0591,0.0587,0.0586,0.0587,0.0604,0.059,0.0591,0.0593,0.0597,0.0593,0.059,0.06,0.0591,0.0593,0.0588,0.0589,0.0686,0.0877,0.0588,0.0585,0.0583,0.0582,0.0598,0.0595,0.0605,0.0609,0.0614,0.060743
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,0.4716,0.4713,0.4713,0.4816,0.4697,0.473,0.4661,0.4713,0.4703,0.4702,0.4686,0.4679,0.4686,0.4675,0.4695,0.4724,0.7872,0.4751,0.751,0.5537,0.5398,0.4769,0.468,0.4702,0.4766,0.4692,0.4704,0.4714,0.4748,0.4728,0.496267
Desain Percobaan: Teori dan Aplikasi,0.6907,0.6812,0.6846,0.9203,0.9094,0.7168,1.0204,0.7121,1.1501,0.6954,0.6918,0.9766,1.2859,1.2371,2.1538,1.1103,1.2332,1.3684,1.5116,2.4932,2.0115,1.6659,1.407,1.213,1.0507,0.9182,0.8158,0.7314,0.9875,0.974,1.13393
"Wanita Masa Depan: Peran, Identitas, Dan Kontribusi Dalam Menghadapi Tantangan Kehidupan",1.1171,1.2166,1.0515,0.7862,0.7925,0.7904,0.7913,0.7912,0.7882,0.8058,0.7921,0.796,0.7927,0.7916,0.7923,0.7888,0.7881,0.7809,0.7935,0.8798,0.79,1.352,1.0815,0.8084,0.788,0.7883,0.79,0.802,0.8021,0.8555,0.85948
Jalan Kebijaksanaan: Mengatasi Kesulitan Dan Menginspirasi Kehidupan,1.0225,0.937,0.8422,0.7997,0.7964,0.7957,0.7925,0.7977,0.7967,0.7828,0.7889,1.1756,3.0844,4.5427,0.8402,0.8207,0.7908,0.7952,0.8987,0.7887,0.9954,0.7984,1.8009,1.6743,1.2539,1.1771,0.9569,0.9713,1.0571,0.9175,1.14973
