Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Diplomasi Indonesia dalam Mendukung Kemerdekaan Palestina,0.03,0.0223,0.0194,0.0175,0.0179,0.023,0.0182,0.0172,0.0186,0.018,0.0184,0.0191,0.019,0.0198,0.0201,0.0201,0.0191,0.0197,0.0188,0.0183,0.0191,0.0176,0.0185,0.0172,0.0171,0.0182,0.0231,0.0196,0.0186,0.0193,0.019427
Ali & Lili,0.0099,0.0062,0.0053,0.0049,0.0061,0.0052,0.0052,0.0046,0.0047,0.0053,0.005,0.0051,0.0057,0.0052,0.0055,0.005,0.0059,0.0053,0.0056,0.0064,0.0099,0.0082,0.005,0.0047,0.0048,0.0051,0.005,0.0048,0.0046,0.0066,0.005693
Ide-Ide Pemikiran dari Kampus Maroon 2024,0.0262,0.0208,0.0195,0.0208,0.0198,0.0209,0.0225,0.0222,0.0201,0.0193,0.0212,0.0198,0.0205,0.0206,0.0274,0.0219,0.0215,0.0208,0.0204,0.0265,0.0205,0.0205,0.0172,0.0133,0.0132,0.0131,0.0132,0.0131,0.0133,0.0135,0.019453
Mitigasi Risiko Proyek Konstruksi di Indonesia,0.0238,0.0208,0.0198,0.0197,0.0197,0.0197,0.0196,0.0195,0.0196,0.0196,0.0196,0.0198,0.0196,0.0196,0.0196,0.0197,0.0197,0.0199,0.02,0.0213,0.0196,0.0196,0.0198,0.0198,0.0196,0.0198,0.0198,0.0197,0.0196,0.0198,0.019923
"Manajemen Sumber Daya Manusia: Berbasis Teknologi, Menuju Ekosistem Hijau dan SDGs",0.0884,0.085,0.0838,0.0837,0.0982,0.4956,0.1386,0.1097,0.0886,0.1127,0.0925,0.0841,0.0824,0.0827,0.0825,0.0828,0.0824,0.0821,0.0883,0.1517,0.1691,0.0941,0.0848,0.1348,0.1344,0.1781,0.2294,0.1553,0.14,0.1707,0.126217
Akal Yang Mengandung Hikmat,0.0168,0.0147,0.0117,0.0117,0.0116,0.0116,0.0115,0.0116,0.0112,0.0115,0.0103,0.0104,0.0105,0.0102,0.0099,0.0105,0.0108,0.0125,0.0102,0.0104,0.0115,0.0116,0.0117,0.0115,0.0117,0.0117,0.0116,0.0114,0.0109,0.0137,0.011563
79 Esai Aksi Bersama Wujudkan 17 SDGs,0.1235,0.1612,0.0911,0.1167,0.1227,0.0814,0.0746,0.0736,0.0732,0.0834,0.0729,0.073,0.0739,0.0871,0.0759,0.0741,0.0879,0.0803,0.0732,0.1323,0.084,0.0741,0.074,0.0736,0.0741,0.0756,0.076,0.0744,0.0733,0.0742,0.086177
Penghargaan Achmad Bakrie XX-2024,0.028,0.0151,0.012,0.0489,0.0218,0.0186,0.0166,0.0175,0.0174,0.0181,0.0184,0.018,0.0186,0.0177,0.0175,0.0182,0.0175,0.0174,0.018,0.0176,0.0177,0.0177,0.0178,0.0175,0.018,0.0177,0.0178,0.0176,0.0178,0.0206,0.019103
Arunika: Bunga Rampai Ilmu Komunikasi Perilaku Komunikasi Gen Z  Seri 2,0.118,0.2439,0.0395,0.0396,0.0246,0.0232,0.0228,0.0235,0.023,0.0232,0.023,0.0232,0.0227,0.0233,0.0229,0.0229,0.0228,0.0228,0.0228,0.0398,0.0263,0.0231,0.0233,0.0233,0.0229,0.0259,0.032,0.033,0.0857,0.0436,0.038887
Belajar Hidup Minim Sampah Mulai Dari Dapur Rumah,0.0175,0.0136,0.0129,0.0128,0.0133,0.0128,0.013,0.0127,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.013,0.0126,0.0126,0.0128,0.0128,0.0161,0.0131,0.0128,0.0127,0.0129,0.0128,0.0128,0.0129,0.0148,0.0243,0.0131,0.013583
